DNI,nombre,apellidos,rol,estamento
44738593M,Marina,Ronda Marrero,commitee,Estudiante
46657856D,Rubén,Ramírez Trujillo,voter,Estudiante
34534535P,Ana,Vega De León,voter,Estudiante
34565643D,Víctor,Rodríguez Fuentes,inspector,Estudiante
23986799N,Elena,Suárez Costa,voter,Profesor
12432434Z,Marc,Roig Montes,voter,Profesor
19875123D,María de la O,Núñez Almirante,inspector,Profesor
45654645S,Francisco,Padrón Ramírez,commitee,Profesor
34453465A,Isabel,Del Pino Álvarez,commitee,PAS
26784234R,Jesús Miguel,Perales Lozano,voter,PAS
56345345Q,Lucas,Reyes de Castilla,voter,PAS
43454543D,Leonor,Pérez Rodríguez,inspector,PAS
